folder	phish_prediction	target_prediction	brand_recog_time	crp_prediction_time	crp_transition_time
www.mountainbikes-shopofficial.com	benign	None	3.1749322414398193	0	0
c1c7ae13b089a2506d086b98ba39d1a4.zunjishoufa.quanfeng.net	benign	None	5.156800746917725	0	0
www.dan-carina-deneseus.justinwalkerphotography.com	benign	None	1.8236100673675537	0	0
portal.ldtech.com.my	benign	None	1.5240814685821533	0	0
shopifyaitool.com.gismoai.com	benign	None	4.122544527053833	0	0
portal2.w-come.com	benign	None	1.2095937728881836	0	0
leadbase.securehardmoneylenders.com	benign	None	1.2123024463653564	0	0
support.biopredictive.com	benign	None	1.5750982761383057	0	0
www.mestacioncreacion.cohttapps.romanovles.ru	benign	None	5.504089117050171	2.248680353164673	5.523347616195679
myassignments-help.com.au	benign	None	7.208143949508667	0	0
cdkey2.najiang.top	benign	None	1.8805468082427979	0	0
www.phpmyadmin.out.news-sports.ru	benign	None	1.6425843238830566	0	0
gcd.klubspokojenosti.reda.net	benign	None	1.2759225368499756	0	0
www.zaymo.info	benign	None	2.987032651901245	0	0
cpanel.nicolemorales.top	benign	None	1.9090659618377686	0	0
cpanel.todojamon.vip	benign	None	2.0847859382629395	0	0
admin.umyjeme.top	benign	None	3.1065728664398193	0	0
leben-im-westen.info	benign	None	1.1324119567871094	0	0
portal.senev.org.tr	benign	None	2.073345422744751	0	0
preview-stock-template-64daa44acb391.ycode.site	benign	None	3.0412943363189697	0	0
www.pa1603913415370.meubelmakerijmusschevof.nl	benign	None	2.3558030128479004	0	0
llega.top	benign	None	1.4010546207427979	0	0
shiori.byungchan.kim	benign	None	4.058331251144409	0	0
scholarship.bridgetroosa.agnesscott.org	benign	None	2.632526159286499	0	0
client.strealer.io	benign	None	2.0835683345794678	0	0
freteslocais.com.br.josielgarcia.com.br	benign	None	2.753793716430664	0	0
www.michelle-en-dominiqu.kirstenrouschop-photography.com	benign	None	1.2180094718933105	0	0
dev.safetycoins.net	benign	None	1.4349825382232666	0	0
cpanel.nodelman.faculty.hit.ac.il	benign	None	2.909153461456299	0	0
visaservice.stcw.academy	benign	None	2.4597654342651367	0	0
portalcenter.verichat.com.br	benign	None	1.3358721733093262	0	0
www.phpmyadmin.builder.appbitrix24.ru	benign	None	3.71685791015625	0	0
lonecreek.co.zw.ishop.co.zw	benign	None	1.99638032913208	0	0
www.tabularasa.work	benign	None	1.697361707687378	0	0
pay.sber.avito.avito.pay.pay.sber.hamosaeeid94.wuiltweb.com	benign	None	1.3164787292480469	0	0
www.beacons-handoff.gcp.gv2.com	benign	None	2.0882883071899414	0	0
posta.mkakwtasn35zx1.tf3hwt.upfiles.org	benign	None	1.3991057872772217	0	0
www.2000fu-2.centrocapilarmadrid.es	benign	None	1.2126142978668213	0	0
cpanel.mastershefgaming.cf	benign	None	1.5655298233032227	0	0
www.tdscleaning.com	benign	None	1.2579166889190674	0	0
tokoserbaunik.com.pesantrenpedia.id	benign	None	1.2446582317352295	0	0
melanesianlegalservices.com	benign	None	4.539598703384399	2.1058669090270996	5.4077675342559814
hardplatform.com	benign	None	7.992302417755127	1.9526867866516113	5.418618440628052
f-alive.com	benign	None	2.076960325241089	0	0
loving-goldwasser.159-223-82-229.plesk.page	benign	None	1.2641046047210693	0	0
besttradeitalia.click	benign	None	4.381164312362671	0	0
u1002852.c047jp8627.info	benign	None	4.02946925163269	2.0177314281463623	5.408912897109985
watchtower.avalon.cc	benign	None	2.5033817291259766	0	0
cpanel.devmaya.com.vishal.im	benign	None	2.0200178623199463	0	0
34.68.142.174.russegan.dev	phish	thalesgroup.com	7.195462465286255	1.8660192489624023	0
eager-colden.212-227-169-250.plesk.page	benign	None	1.3907055854797363	0	0
support.pandoraswallet.com	benign	None	7.259099721908569	0	0
st-fiq-peg-demo.fiq-dev.com	benign	None	1.2923061847686768	0	0
www.9460nw54doralter.jsrking.com	benign	None	2.041853427886963	0	0
byp.xyz	benign	None	2.8248956203460693	0	0
server.sgb.vyp.mybluehost.me	benign	None	3.7988440990448	0	0
algerianstore.online	benign	None	1.2181174755096436	0	0
sdo9ifloxx01xv3fsv49iingdm6nyp03.ui.nabu.casa	benign	None	2.6033401489257812	0	0
lq.cyxwz.top	benign	None	1.7715163230895996	0	0
live.pogoda-podkarpackie.pl	benign	None	1.1733794212341309	0	0
cpssecurityservices.co.uk	benign	None	1.2633087635040283	0	0
www.beautifauxbronzing.com	benign	None	1.5990843772888184	0	0
webtemplateportal.com	benign	None	3.632493019104004	2.026491641998291	5.413606405258179
blog.old.dmnpvdata.vmig.expert	benign	None	1.3283424377441406	0	0
wizardly-pare.212-227-149-148.plesk.page	benign	None	1.4979686737060547	0	0
www.144-f-rd-silvert-1.haroldcaceresph.com	benign	None	1.2035658359527588	0	0
jeangirigori.com.eficesc.com	benign	None	1.382709264755249	0	0
cpanel.archgroup.humspace.ucla.edu	benign	None	1.1792018413543701	0	0
saddallar.xyz	benign	None	1.219736099243164	0	0
auth.xn--zqs76sjsc5qf7a717gg0v785a.top	benign	None	2.3667004108428955	0	0
www.megan-brandon.soulframedphotography.com	benign	None	1.1561198234558105	0	0
pg14-1-nex-cbrd-p065.intel.com	benign	None	1.697511911392212	0	0
pickcellz.xyz	benign	None	1.0899622440338135	0	0
wfc-api-hipex.intern.blueflamingos.nl	benign	None	5.1623945236206055	0	0
whiskymuehle.at	benign	None	4.578758955001831	0	0
www.florapedia.xyz	benign	None	4.438089370727539	0	0
ketoactivemelbourne.online	benign	None	7.878354549407959	0	0
254.179.205.92.host.secureserver.net	benign	None	0.769514799118042	0	0
pi.longwang.vip	benign	None	1.5914015769958496	0	0
amirsanjabidental.greatdentalservices.com	benign	None	1.2392091751098633	0	0
dev.fam.hscscienceextension.nesa.nsw.edu.au	benign	None	1.1346933841705322	0	0
mail.solgardensnickare.se.hemsida.eu	benign	None	7.284091472625732	0	0
wukid.xyz	benign	None	3.6773600578308105	0	0
beadedthreadsbyjudy.fwsonline.ca	benign	None	2.4041268825531006	0	0
www.xcellencetaxservices.com	benign	None	1.1463463306427002	0	0
2a3d51bd273cbc93218d8b7299d3bc89.zunjishoufa.quanfeng.net	benign	None	3.79746413230896	0	0
trusting-montalcini.43-240-65-56.plesk.page	benign	None	1.2443621158599854	0	0
www.a-wonderful-experien.shotbykam.com	benign	None	1.2748675346374512	0	0
www.estejavisivel.online	benign	None	3.913517475128174	0	0
sberbank.avito.www.avito.www.pay.www.pay.pay.hamosaeeid94.wuiltweb.com	benign	None	2.0690085887908936	0	0
superadmin.invoice.odmantis.com	benign	None	3.5781028270721436	0	0
8cjydlipq7lie8w.www.odiscover.monalthemes.comapp.nanodom.net	benign	None	3.0746302604675293	0	0
sber.pay.avito.sber.pay.avito.avito.avito.avito.sberbank.avito.covid19disasterreliefgandglancrm.karabruce.com	benign	None	1.8874435424804688	0	0
structelite.wiwicodemo.xyz	benign	None	1.3900268077850342	0	0
sber.avito.www.sberbank.avito.avito.avito.pay.pay.hamosaeeid94.wuiltweb.com	benign	None	3.0566532611846924	0	0
www.inahosteaksushi.com	benign	None	1.5685031414031982	0	0
www.jennalee.work	benign	None	1.679018497467041	0	0
diverseyglobal.alisqi.com.sandbox-w6wvm5a-jvzpn7pm3dlau.fr-4.platformsh.site	benign	None	5.630929708480835	0	0
sberbank.sber.sber.sber.acid4yucomune.romanovles.ru	benign	None	6.611583471298218	2.2419188022613525	5.507005453109741
blog.demo.hostmaster.konermann-portal.de	benign	None	1.6036550998687744	0	0
katrin454.bgcu19.us1.mybodygraphchart.com	benign	None	1.5349655151367188	0	0
barbacoas.click	benign	None	3.1981756687164307	0	0
squizcloud.sherratt-von-hale.com	benign	None	5.11782431602478	0	0
staging.jstevensonline.com	benign	None	8.574870109558105	0	0
gosbankrot316.ru	benign	None	2.404533624649048	0	0
www.ag-contracting-services.com	benign	None	1.9974446296691895	0	0
www.facebook.konermann-portal.de	benign	None	1.92771315574646	0	0
outlook.remise.de	phish	outlook.com	10.518848657608032	3.6521694660186768	0
www.neatfreak.online	benign	None	1.670802116394043	0	0
