folder	phish_prediction	target_prediction	brand_recog_time	crp_prediction_time	crp_transition_time
simplygraceboutique.co	benign	None	8.050050497055054	0	0
www.glebefarmlivery.com	benign	None	2.11555552482605	0	0
8297e6985deb5e9851f945cf3be57ea0.zunjishoufa.quanfeng.net	benign	None	5.262217998504639	0	0
i-08e5ec9b3a3c372ac.atf.plesk.tech	benign	None	2.41776180267334	0	0
zy6-kfxt-h094-api.termite31499.live	benign	None	1.5810980796813965	0	0
sber.avito.sberbank.sber.www.pay.pay.hamosaeeid94.wuiltweb.com	benign	None	1.5343337059020996	0	0
exchanged.tech	benign	None	5.016587495803833	2.274606704711914	5.502359390258789
peacefulpassagesbirthingsupportcenter.com	benign	None	1.8722505569458008	0	0
cpanel.mas2-workshop.humspace.ucla.edu	benign	None	1.715557336807251	0	0
factory.alberich.tech	benign	None	7.4181227684021	0	0
youraccountingclerk.com	benign	None	2.6680822372436523	0	0
leadment.online	benign	None	1.4278368949890137	0	0
cpanel.cryptoville.cc	benign	None	1.735776424407959	0	0
admin.test.sdelivery.co	benign	None	1.0907394886016846	0	0
avito.avito.sberbank.sber.sber.sberbank.sber.blablacar.sber.a2chesid5.cloudns.test.forums.reshmavyas.com	benign	None	1.5552058219909668	0	0
lonestarlogistics.info	benign	None	1.1839938163757324	0	0
servicedelhi.com	benign	None	1.4634699821472168	0	0
a15db11697ba2a1e748472ba5a3b8eaa.zunjishoufa.quanfeng.net	benign	None	6.264169692993164	0	0
savannah.romaspizza.cc	benign	None	3.7966771125793457	0	0
www.optimallservices.org	benign	None	1.2951123714447021	0	0
liveingreatness.com	benign	None	3.5304300785064697	0	0
txx72.top	benign	None	1.368145227432251	0	0
azera.xyz	benign	None	7.297461986541748	0	0
rmfc.samhindson.xyz	benign	None	1.4087259769439697	0	0
www.caliveent.com	benign	None	5.959007263183594	0	0
www.marquis-online.com	benign	None	2.6989290714263916	0	0
www.ahamo.greenfieldgrafik.mixh.jp	benign	None	3.5801331996917725	2.0934391021728516	5.4459826946258545
www.maverick.intentionalwalkpetservices.com	benign	None	1.139683485031128	0	0
gibraltardatingonline.com	benign	None	4.327443599700928	0	0
www.mclfloorsanding.com	benign	None	2.6909918785095215	0	0
www.lyonshirestrucking.com	benign	None	1.1932036876678467	0	0
xmsj.work	benign	None	1.2317309379577637	0	0
dbservice2.getgosolutions.com	benign	None	4.986008405685425	1.890716314315796	5.439708948135376
www.nebos.id.bongashidroponik.com	benign	None	1.511415958404541	0	0
events.info.poland.travel	benign	None	8.54027247428894	0	0
3a6b5c6.vip8989	benign	None	2.7259879112243652	0	0
cpanel.playsafeplaygrounds.co.uk	benign	None	5.245290994644165	0	0
jovial-torvalds.103-255-190-103.plesk.page	benign	None	1.374330997467041	0	0
www.khaledibra.online	benign	None	1.144083023071289	0	0
shangke100.danielm1081.5cloudhost.com	benign	None	4.230409145355225	0	0
clientes.akambio.com	benign	None	3.722102642059326	0	0
plantillaparacurriculum.online.comopowerpoint.site	benign	None	1.4370958805084229	0	0
aspiretraderhb.online	benign	None	7.025187015533447	0	0
lieltikshoret.online	benign	None	2.595489740371704	0	0
i-06cf1e045bfc08a8a.atf.plesk.tech	benign	None	1.4282665252685547	0	0
www.brkblaw.com	benign	None	2.573573350906372	0	0
admin.skillbank.org	benign	None	1.216808795928955	0	0
cpanel.bill-jackson.co.uk	benign	None	1.2067170143127441	0	0
billtoo1-1595033896.nt-sitebuilder.ch	benign	None	1.1966755390167236	0	0
www.consultingservices813.com	benign	None	1.2115743160247803	0	0
corsi.dallaraformazione.com	benign	None	6.402566194534302	0	0
portal.playspinwinbrands.com	benign	None	1.2688801288604736	0	0
www.lanzuk.com	benign	None	1.396625280380249	0	0
podest.schachenburg.info	benign	None	2.6205742359161377	0	0
www.5-finch-lane.myhomepropertymarketing.com	benign	None	2.7941036224365234	0	0
avito.www.avito.avito.avito.pay.pay.avito.sber.hamosaeeid94.wuiltweb.com	benign	None	1.8871808052062988	0	0
portal.gwsberlin.de	benign	None	6.920431613922119	0	0
completejoineryandbuildingservices.co.uk	benign	None	2.353066921234131	0	0
38005ff6216e2b82575ad32e08d90129.zunjishoufa.quanfeng.net	benign	None	5.2917070388793945	0	0
mercci.cc	benign	None	1.2167127132415771	0	0
bankwaypropertiesltd.co	benign	None	1.217087745666504	0	0
cpanel.your-web-site.online	benign	None	2.1096889972686768	0	0
www.git.localhost.capital-rp.ru	benign	None	1.40120530128479	0	0
